Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76841,152c29,1033418601,MChs Rossii,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76842,152c2a,1033418616,Aviacon Zitotrans,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76845,152c2d,1043420696,MChs Rossii,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76846,152c2e,93497936,Aviacon Zitotrans,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD-90VD,RA-76950,152c96,2053420697,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD-90VD,RA-76951,152c97,2073421704,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD-90VD,RA-76952,152c98,2093422743,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 MD-90A,RA-78650,15333a,2-Jan,Oak,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 MD,RA-78762,1533aa,83486574,Russian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-78765,1533ad,83486590,Aviacon Zitotrans,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78776,1533b8,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78794,1533ca,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78796,1533cc,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78805,1533d5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78807,1533d7,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78809,1533d9,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78816,1533,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78817,15330,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78818,153300,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78830,1533ee,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-78831,1533ef,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
