Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Grozny Group,Kuril Is,Complex volcanoes,45.03,147.92,1211,0.785921762173047,2.58169102955001,POINT(147.92 45.03)
Guadalupe,México,Shield volcano,29.07,-118.28,1100,0.507367213554752,-2.06437543925889,POINT(-118.28 29.07)
Guagua Pichincha,Ecuador,Stratovolcano,-0.17,-78.6,4784,-0.00296705972839,-1.37182879206754,POINT(-78.6 -0.17)
Guallatiri,Chile-N,Stratovolcano,-18.42,-69.09,6071,-0.321489648217355,-1.20584798020288,POINT(-69.09 -18.42)
Guayaques,Chile-N,Lava domes,-22.9,-67.57,5598,-0.399680398706702,-1.17931897557257,POINT(-67.57 -22.9)
Guazapa,El Salvador,Stratovolcano,13.9,-89.12,1438,0.242600766027212,-1.55543742937735,POINT(-89.12 13.9)
Guguan,Mariana Is-C Pacific,Stratovolcano,17.31,145.85,287,0.302116493520218,2.54556271403373,POINT(145.85 17.31)
Guntur,Java,Complex volcano,-7.14,107.84,2249,-0.124616508592395,1.88216306535069,POINT(107.84 -7.14)
Gunungapi Wetar,Banda Sea,Stratovolcano,-6.64,126.65,282,-0.115889862332424,2.21045949765082,POINT(126.65 -6.64)
Hachijo-jima,Izu Is-Japan,Stratovolcanoes,33.13,139.77,854,0.578227581185721,2.43944669551247,POINT(139.77 33.13)
Hachimantai,Honshu-Japan,Stratovolcano,39.96,140.86,1614,0.697433569096934,2.45847078435921,POINT(140.86 39.96)
Hakkoda Group,Honshu-Japan,Stratovolcanoes,40.66,140.88,1585,0.709650873860894,2.45881985020961,POINT(140.88 40.66)
Hakone,Honshu-Japan,Complex volcano,35.23,139.02,1438,0.614879495477602,2.42635672612252,POINT(139.02 35.23)
Haku-san,Honshu-Japan,Stratovolcano,36.15,136.77,2702,0.63093652459595,2.38708681795265,POINT(136.77 36.15)
Haleakala,Hawaiian Is,Shield volcano,20.71,-156.25,3055,0.361457688088026,-2.72707695624114,POINT(-156.25 20.71)
Halla,Korea,Shield volcano,33.37,126.53,1950,0.582416371390508,2.20836510254842,POINT(126.53 33.37)
Hanish,Red Sea,Shield volcano,13.72,42.73,422,0.239459173373622,0.745779189377177,POINT(42.73 13.72)
Hargy,New Britain-SW Pac,Stratovolcano,-5.33,151.1,1148,-0.093026049131298,2.63719249976343,POINT(151.1 -5.33)
"Harrah, Al",Arabia-W,Volcanic field,31.08,38.42,1100,0.542448331519838,0.670555498616221,POINT(38.42 31.08)
Haruj,Africa-N,Volcanic field,27.25,17.5,1200,0.475602221168455,0.305432619099008,POINT(17.5 27.25)
Haruna,Honshu-Japan,Stratovolcano,36.47,138.88,1449,0.636521578202332,2.42391326516972,POINT(138.88 36.47)
Hasan Dagi,Turkey,Stratovolcano,38.13,34.17,3253,0.665494043785438,0.596379005406462,POINT(34.17 38.13)
Haut Dong Nai,SE Asia,Volcanic field,11.6,108.2,1000,0.202458193231342,1.88844625065786,POINT(108.2 11.6)
